index,method,seed,energy,energy_diverse,cost,diversity,n_modes,round,k
81,mf_random,1,3.4178662,,15712.0,,,31,1
82,mf_random,1,3.4178662,,16232.0,,,32,1
83,mf_random,1,3.4178662,,16697.0,,,33,1
84,mf_random,1,3.4178662,,17154.0,,,34,1
85,mf_random,1,3.4178662,,17644.0,,,35,1
86,mf_random,1,3.4178662,,18142.5,,,36,1
87,mf_random,1,3.4178662,,18592.0,,,37,1
88,mf_random,1,3.4178662,,19147.0,,,38,1
89,mf_random,1,3.4178662,,19626.0,,,39,1
90,mf_random,1,3.4178662,,20115.5,,,40,1
91,mf_random,1,7.1851335,7.18513298034668,530.0,0.06739105615987445,10,0,10
92,mf_random,1,6.9840155,6.9840155124664305,974.5,0.04937019958201421,10,1,10
93,mf_random,1,6.4084535,6.408453559875488,1489.5,0.05589133054546306,10,2,10
94,mf_random,1,6.221368,6.221368074417114,1909.5,0.05225629820276914,10,3,10
95,mf_random,1,5.9156876,5.915687561035156,2412.0,0.04392154001167892,10,4,10
96,mf_random,1,5.7526655,5.75266580581665,2851.0,0.041158923899472774,10,5,10
97,mf_random,1,5.314287,5.314287090301514,3359.5,0.04691568672101912,10,6,10
98,mf_random,1,5.314287,5.314287090301514,3814.0,0.04691568672101912,10,7,10
99,mf_random,1,5.1927385,5.192738723754883,4293.5,0.048945925392976326,10,8,10
100,mf_random,1,5.134921,5.134921264648438,4818.5,0.0576529836262344,10,9,10
101,mf_random,1,5.134921,5.134921264648438,5346.5,0.0576529836262344,10,10,10
102,mf_random,1,5.134921,5.134921264648438,5847.5,0.0576529836262344,10,11,10
103,mf_random,1,5.0495224,5.049521970748901,6349.0,0.06646532513404048,10,12,10
104,mf_random,1,4.9481854,4.948185157775879,6858.5,0.06821852786150877,10,13,10
105,mf_random,1,4.9481854,4.948185157775879,7325.5,0.06821852786150877,10,14,10
106,mf_random,1,4.919496,4.919496202468872,7844.5,0.05946962591005466,10,15,10
107,mf_random,1,4.919496,4.919496202468872,8303.0,0.05946962591005466,10,16,10
108,mf_random,1,4.880191,4.880190658569336,8812.5,0.05644020931907028,10,17,10
109,mf_random,1,4.7877855,4.787785911560059,9285.0,0.057553979704203874,10,18,10
110,mf_random,1,4.7877855,4.787785911560059,9769.0,0.057553979704203874,10,19,10
111,mf_random,1,4.669393,4.6693932056427006,10260.0,0.052417994112192445,10,20,10
112,mf_random,1,4.669393,4.6693932056427006,10746.0,0.052417994112192445,10,21,10
113,mf_random,1,4.669393,4.6693932056427006,11248.0,0.052417994112192445,10,22,10
114,mf_random,1,4.62129,4.621289968490601,11759.5,0.044191960996840265,10,23,10
115,mf_random,1,4.5934877,4.593488025665283,12252.0,0.04225585413946758,10,24,10
116,mf_random,1,4.5934877,4.593488025665283,12718.5,0.04225585413946758,10,25,10
117,mf_random,1,4.5934877,4.593488025665283,13222.0,0.04225585413946758,10,26,10
118,mf_random,1,4.5934877,4.593488025665283,13705.0,0.04225585413946758,10,27,10
119,mf_random,1,4.451931,4.451931047439575,14176.5,0.044321097927781716,10,28,10
120,mf_random,1,4.3699117,4.369911861419678,14692.5,0.03962498352694125,10,29,10
121,mf_random,1,4.246244,4.246244263648987,15205.5,0.04036539105392587,10,30,10
122,mf_random,1,4.246244,4.246244263648987,15712.0,0.04036539105392587,10,31,10
123,mf_random,1,4.246244,4.246244263648987,16232.0,0.04036539105392587,10,32,10
124,mf_random,1,4.208912,4.208911442756653,16697.0,0.04097872805185416,10,33,10
125,mf_random,1,4.208912,4.208911442756653,17154.0,0.04097872805185416,10,34,10
126,mf_random,1,4.208912,4.208911442756653,17644.0,0.04097872805185416,10,35,10
127,mf_random,1,4.208912,4.208911442756653,18142.5,0.04097872805185416,10,36,10
128,mf_random,1,4.208912,4.208911442756653,18592.0,0.04097872805185416,10,37,10
129,mf_random,1,4.208912,4.208911442756653,19147.0,0.04097872805185416,10,38,10
130,mf_random,1,4.208912,4.208911442756653,19626.0,0.04097872805185416,10,39,10
131,mf_random,1,4.208912,4.208911442756653,20115.5,0.04097872805185416,10,40,10
132,mf_random,1,8.298504,8.298503723144531,530.0,0.04161106683117587,50,0,50
133,mf_random,1,7.753396,7.753396472930908,974.5,0.03677430240324539,50,1,50
134,mf_random,1,7.396789,7.40204342842102,1489.5,0.040444057591436676,49,2,50
135,mf_random,1,7.1437287,7.144996747970581,1909.5,0.03992064705189157,49,3,50
136,mf_random,1,6.988423,6.98842303276062,2412.0,0.03844001317244915,50,4,50
137,mf_random,1,6.8568554,6.856854581832886,2851.0,0.03918060059012698,50,5,50
138,mf_random,1,6.653865,6.653865098953247,3359.5,0.04077404827847354,50,6,50
139,mf_random,1,6.596597,6.596597480773926,3814.0,0.0416707830133044,50,7,50
140,mf_random,1,6.5099597,6.509959878921509,4293.5,0.042822853369517654,50,8,50
141,mf_random,1,6.439696,6.439695549011231,4818.5,0.04725974936244945,50,9,50
142,mf_random,1,6.420816,6.4208164882659915,5346.5,0.046593738992124246,50,10,50
143,mf_random,1,6.3674483,6.367447748184204,5847.5,0.04741909036575566,50,11,50
144,mf_random,1,6.291305,6.291304292678833,6349.0,0.04739575251740557,50,12,50
145,mf_random,1,6.2485714,6.248570356369019,6858.5,0.04653973924065019,50,13,50
146,mf_random,1,6.2435756,6.243574743270874,7325.5,0.04728677558549833,50,14,50
147,mf_random,1,6.1690373,6.1690380668640135,7844.5,0.04609290196575627,50,15,50
148,mf_random,1,6.146923,6.146923503875732,8303.0,0.0450462204311716,50,16,50
149,mf_random,1,6.1015716,6.101571502685547,8812.5,0.04510796415823946,50,17,50
150,mf_random,1,6.0269537,6.0269534873962405,9285.0,0.04316638071403768,50,18,50
151,mf_random,1,5.977725,5.977725305557251,9769.0,0.04332961181439717,50,19,50
152,mf_random,1,5.88328,5.883280239105225,10260.0,0.040781729159428126,50,20,50
153,mf_random,1,5.842695,5.842694940567017,10746.0,0.04084228572106118,50,21,50
154,mf_random,1,5.814281,5.814281024932861,11248.0,0.03983904400595207,50,22,50
155,mf_random,1,5.7484264,5.74842565536499,11759.5,0.04078799121795464,50,23,50
156,mf_random,1,5.691363,5.691363039016724,12252.0,0.043626378052759804,50,24,50
157,mf_random,1,5.684688,5.684688196182251,12718.5,0.043829856757943195,50,25,50
158,mf_random,1,5.682729,5.682728986740113,13222.0,0.04437365582483676,50,26,50
159,mf_random,1,5.682729,5.682728986740113,13705.0,0.04437365582483676,50,27,50
160,mf_random,1,5.6124535,5.612453889846802,14176.5,0.045110100104828826,50,28,50
161,mf_random,1,5.5664024,5.5664030456542966,14692.5,0.04480423141868986,50,29,50
162,mf_random,1,5.4505043,5.450504069328308,15205.5,0.044575312033488565,50,30,50
163,mf_random,1,5.4481893,5.448188757896423,15712.0,0.04399107958409331,50,31,50
164,mf_random,1,5.4481893,5.448188757896423,16232.0,0.04399107958409331,50,32,50
165,mf_random,1,5.414342,5.414341778755188,16697.0,0.04263698012930081,50,33,50
166,mf_random,1,5.403,5.40300000667572,17154.0,0.04318626571527063,50,34,50
167,mf_random,1,5.383577,5.383576502799988,17644.0,0.04418664911594475,50,35,50
168,mf_random,1,5.375682,5.375681519508362,18142.5,0.04429060172689181,50,36,50
169,mf_random,1,5.3591213,5.3591215658187865,18592.0,0.04584424840653083,50,37,50
170,mf_random,1,5.3591213,5.3591215658187865,19147.0,0.04584424840653083,50,38,50
171,mf_random,1,5.344698,5.344697871208191,19626.0,0.04459281185294928,50,39,50
172,mf_random,1,5.3245115,5.324511599540711,20115.5,0.045349730163387794,50,40,50
173,mf_random,1,9.267695,8.843215141296387,530.0,0.04276033378042073,79,0,100
174,mf_random,1,8.312839,8.342323932647705,974.5,0.03657083786473202,93,1,100
175,mf_random,1,7.8449187,7.8627114629745485,1489.5,0.039684614761374186,96,2,100
176,mf_random,1,7.559642,7.5762457752227785,1909.5,0.040556195104606264,96,3,100
177,mf_random,1,7.418326,7.42955319404602,2412.0,0.039446066010734616,97,4,100
178,mf_random,1,7.2910357,7.3036654806137085,2851.0,0.038598940098021305,95,5,100
179,mf_random,1,7.1136775,7.121960887908935,3359.5,0.04095922371227794,95,6,100
180,mf_random,1,7.0597796,7.062448873519897,3814.0,0.040393771575580134,97,7,100
181,mf_random,1,6.982862,6.9836084747314455,4293.5,0.04208286058243127,97,8,100
182,mf_random,1,6.925724,6.925784840583801,4818.5,0.04156170701925335,99,9,100
183,mf_random,1,6.8840084,6.8840080261230465,5346.5,0.0406042823682683,100,10,100
184,mf_random,1,6.819977,6.819976711273194,5847.5,0.04087653345412821,100,11,100
185,mf_random,1,6.756637,6.756637482643128,6349.0,0.03925584464790562,100,12,100
186,mf_random,1,6.724025,6.724970054626465,6858.5,0.039989584092750066,99,13,100
187,mf_random,1,6.7045813,6.705286650657654,7325.5,0.04139557441989303,99,14,100
188,mf_random,1,6.637482,6.637509078979492,7844.5,0.0414157977846165,99,15,100
189,mf_random,1,6.5992036,6.599203391075134,8303.0,0.04137644713772475,100,16,100
190,mf_random,1,6.5571876,6.558267211914062,8812.5,0.04072132680033624,99,17,100
191,mf_random,1,6.492257,6.492708296775818,9285.0,0.04233037287552402,99,18,100
192,mf_random,1,6.4454374,6.445540480613708,9769.0,0.0427788035035569,99,19,100
193,mf_random,1,6.36635,6.366349067687988,10260.0,0.04389153128721521,100,20,100
194,mf_random,1,6.3314304,6.333075532913208,10746.0,0.04372988589439867,98,21,100
195,mf_random,1,6.29904,6.300112886428833,11248.0,0.04441765282061296,98,22,100
196,mf_random,1,6.242074,6.243172855377197,11759.5,0.04618671624684735,97,23,100
197,mf_random,1,6.1931057,6.193163380622864,12252.0,0.045853630127436325,99,24,100
198,mf_random,1,6.17928,6.179279623031616,12718.5,0.04580027795470213,100,25,100
199,mf_random,1,6.1705427,6.1705418300628665,13222.0,0.04573648270476379,100,26,100
200,mf_random,1,6.17043,6.170429348945618,13705.0,0.04501125276007688,100,27,100
201,mf_random,1,6.1234045,6.123404664993286,14176.5,0.046462143331752435,100,28,100
202,mf_random,1,6.0889845,6.088984436988831,14692.5,0.04637234102794941,100,29,100
203,mf_random,1,5.9887877,5.988787052631378,15205.5,0.044934459472722864,100,30,100
204,mf_random,1,5.9781446,5.978144462108612,15712.0,0.04538216049099219,100,31,100
205,mf_random,1,5.9777923,5.977792379856109,16232.0,0.0452761183511026,100,32,100
206,mf_random,1,5.9438415,5.9438414168357845,16697.0,0.044694387198582874,100,33,100
207,mf_random,1,5.9318433,5.93184330701828,17154.0,0.04462400504183505,100,34,100
208,mf_random,1,5.9090295,5.909029233455658,17644.0,0.04452659908891735,100,35,100
209,mf_random,1,5.894495,5.894494912624359,18142.5,0.04445497469915701,100,36,100
210,mf_random,1,5.877819,5.877819197177887,18592.0,0.04433005963958283,100,37,100
211,mf_random,1,5.87208,5.872079689502716,19147.0,0.04294791341263851,100,38,100
212,mf_random,1,5.8510046,5.8510046124458315,19626.0,0.042498823943461564,100,39,100
213,mf_random,1,5.8293014,5.829301359653473,20115.5,0.04290448310176327,100,40,100
214,mf_random,1,10.014733,4.421607570648193,530.0,0.03849005677929726,93,0,200
215,mf_random,1,9.296829,7.112441091537476,974.5,0.04118655893790857,139,1,200
216,mf_random,1,8.57123,8.811553237438202,1489.5,0.040306717989265946,162,2,200
217,mf_random,1,8.166717,8.263438420295715,1909.5,0.03700419367244079,175,3,200
218,mf_random,1,7.9662385,8.01470398902893,2412.0,0.03791282461087974,180,4,200
219,mf_random,1,7.7995515,7.8486213827133176,2851.0,0.037551271287703025,182,5,200
220,mf_random,1,7.6173925,7.655054252147675,3359.5,0.03864823635424923,181,6,200
221,mf_random,1,7.540855,7.567094032764435,3814.0,0.03885753787826749,188,7,200
222,mf_random,1,7.46003,7.481954011917114,4293.5,0.039254479339111754,186,8,200
223,mf_random,1,7.4024105,7.421256272792816,4818.5,0.040036179848746675,188,9,200
224,mf_random,1,7.336609,7.353557100296021,5346.5,0.03932521661853692,190,10,200
225,mf_random,1,7.276864,7.291520600318909,5847.5,0.03889004665635724,191,11,200
226,mf_random,1,7.2142906,7.226116924285889,6349.0,0.03864958392806246,191,12,200
227,mf_random,1,7.1752844,7.1896637916564945,6858.5,0.039151304559883346,189,13,200
228,mf_random,1,7.1420054,7.154598689079284,7325.5,0.0403846365177421,189,14,200
229,mf_random,1,7.0782647,7.087692949771881,7844.5,0.0410010923190796,188,15,200
230,mf_random,1,7.0373898,7.042715947628022,8303.0,0.04055959520385157,190,16,200
231,mf_random,1,6.9980025,7.005340702533722,8812.5,0.040480367736835374,190,17,200
232,mf_random,1,6.9414577,6.946672222614288,9285.0,0.039829768873349145,194,18,200
233,mf_random,1,6.9003825,6.905030345916748,9769.0,0.03949670723628767,195,19,200
234,mf_random,1,6.8379145,6.841796734333038,10260.0,0.03911909853569248,196,20,200
235,mf_random,1,6.8053417,6.81443389415741,10746.0,0.03980643315837726,193,21,200
236,mf_random,1,6.772725,6.781481268405915,11248.0,0.039347144128435485,194,22,200
237,mf_random,1,6.7280164,6.738648900985718,11759.5,0.03983352187162241,193,23,200
238,mf_random,1,6.680948,6.690110926628113,12252.0,0.04102759622136455,194,24,200
239,mf_random,1,6.6633315,6.67209290266037,12718.5,0.04182641456679865,194,25,200
240,mf_random,1,6.648699,6.65687992811203,13222.0,0.04233987090950898,194,26,200
241,mf_random,1,6.643869,6.651657164096832,13705.0,0.04201601841562138,194,27,200
242,mf_random,1,6.611376,6.618572211265564,14176.5,0.04323985376331278,194,28,200
243,mf_random,1,6.5818915,6.588382151126861,14692.5,0.044003736238994555,196,29,200
244,mf_random,1,6.5066705,6.51224063038826,15205.5,0.04319373648746321,196,30,200
245,mf_random,1,6.486589,6.493518089056015,15712.0,0.04334081444687422,195,31,200
246,mf_random,1,6.483828,6.490554155111313,16232.0,0.04323357669052007,195,32,200
247,mf_random,1,6.455033,6.461204048395157,16697.0,0.0435352366196335,195,33,200
248,mf_random,1,6.443498,6.449210888147354,17154.0,0.043930843955832764,195,34,200
249,mf_random,1,6.419159,6.424060748815537,17644.0,0.04433081354096742,195,35,200
250,mf_random,1,6.397262,6.40165053486824,18142.5,0.043727387450994325,195,36,200
