index,method,seed,energy,cost,diversity,n_modes,round,k
435,mfgfn_c,1,-12.568457,4236,0.5636150483327902,1,0,10
436,mfgfn_c,1,-12.568457,14476,0.5636150483327902,1,1,10
437,mfgfn_c,1,-12.653438,14988,0.5532372108178559,1,2,10
438,mfgfn_c,1,-13.887999,15500,0.5601921005702986,6,3,10
439,mfgfn_c,1,-13.887999,20705,0.5601921005702986,6,4,10
440,mfgfn_c,1,-15.992342,21255,0.6193321657434561,8,5,10
441,mfgfn_c,1,-15.992342,26650,0.6193321657434561,8,6,10
442,mfgfn_c,1,-15.992342,32083,0.6193321657434561,8,7,10
443,mfgfn_c,1,-15.992342,37459,0.6193321657434561,8,8,10
444,mfgfn_c,1,-15.992342,43025,0.6193321657434561,8,9,10
445,mfgfn_c,1,-16.608744,43537,0.6320291625936788,6,10,10
446,mfgfn_c,1,-16.608744,53321,0.6320291625936788,6,11,10
447,mfgfn_c,1,-17.780294,63561,0.6860733680894971,3,12,10
448,mfgfn_c,1,-17.780294,69127,0.6860733680894971,3,13,10
449,mfgfn_c,1,-18.319563,79367,0.6602145106983817,3,14,10
450,mfgfn_c,1,-9.467639,4236,0.5528406886317592,31,0,100
451,mfgfn_c,1,-9.467639,14476,0.5528406886317592,31,1,100
452,mfgfn_c,1,-9.649048,14988,0.5391062627658593,28,2,100
453,mfgfn_c,1,-11.039809,15500,0.5672485599952787,32,3,100
454,mfgfn_c,1,-11.044602,20705,0.5661345659126951,32,4,100
455,mfgfn_c,1,-13.12214,21255,0.6123649686677025,56,5,100
456,mfgfn_c,1,-13.12214,26650,0.6123649686677025,56,6,100
457,mfgfn_c,1,-13.12214,32083,0.6123649686677025,56,7,100
458,mfgfn_c,1,-13.12214,37459,0.6123649686677025,56,8,100
459,mfgfn_c,1,-13.12214,43025,0.6123649686677025,56,9,100
460,mfgfn_c,1,-14.143193,43537,0.6230006176833943,61,10,100
461,mfgfn_c,1,-14.234966,53321,0.6231170586155507,60,11,100
462,mfgfn_c,1,-15.541307,63561,0.6514134769966948,58,12,100
463,mfgfn_c,1,-15.541307,69127,0.6514134769966948,58,13,100
464,mfgfn_c,1,-16.178324,79367,0.665066967228163,64,14,100
465,mfgfn_d,1,-12.205271,9860,,,0,1
466,mfgfn_d,1,-12.205271,16200,,,1,1
467,mfgfn_d,1,-14.252949,22010,,,2,1
468,mfgfn_d,1,-19.762222,30440,,,3,1
469,mfgfn_d,1,-19.762222,40680,,,4,1
470,mfgfn_d,1,-19.762222,48400,,,5,1
471,mfgfn_d,1,-19.762222,56230,,,6,1
472,mfgfn_d,1,-19.762222,64050,,,7,1
473,mfgfn_d,1,-10.904232,9860,0.5543777094044547,1,0,10
474,mfgfn_d,1,-10.904232,16200,0.5543777094044547,1,1,10
475,mfgfn_d,1,-12.018343,22010,0.5801258232251002,2,2,10
476,mfgfn_d,1,-16.499264,30440,0.6456230173443744,6,3,10
477,mfgfn_d,1,-17.797825,40680,0.6747589977665879,4,4,10
478,mfgfn_d,1,-17.797825,48400,0.6747589977665879,4,5,10
479,mfgfn_d,1,-17.797825,56230,0.6747589977665879,4,6,10
480,mfgfn_d,1,-17.797825,64050,0.6747589977665879,4,7,10
481,mfgfn_d,1,-8.537628,9860,0.5294791911098516,29,0,100
482,mfgfn_d,1,-8.537628,16200,0.5294791911098516,29,1,100
483,mfgfn_d,1,-9.628188,22010,0.5496151102327714,27,2,100
484,mfgfn_d,1,-13.181982,30440,0.6314511764222488,60,3,100
485,mfgfn_d,1,-14.868928,40680,0.6468380918802934,59,4,100
486,mfgfn_d,1,-14.868928,48400,0.6468380918802934,59,5,100
487,mfgfn_d,1,-14.868928,56230,0.6468380918802934,59,6,100
488,mfgfn_d,1,-14.868928,64050,0.6468380918802934,59,7,100
